Year,avg_Drought_Severity_Index,avg_Temperature,avg_Precipitation
1980,2.0516666666666667,47.21666666666667,2.9025
1981,2.845833333333333,47.88333333333333,2.9716666666666662
1982,2.578333333333333,47.89166666666667,2.7241666666666666
1983,2.5308333333333333,48.89166666666667,3.1649999999999996
1984,0.24749999999999997,48.5,2.3208333333333333
1985,1.0341666666666667,48.06666666666666,3.3008333333333333
1986,2.5541666666666667,48.88333333333333,2.9416666666666664
1987,2.441666666666667,50.49166666666667,3.02
1988,-0.9458333333333333,48.90833333333333,2.1666666666666665
1989,1.0216666666666667,47.208333333333336,2.4766666666666666
1990,2.855,50.25833333333333,3.5525
1991,-0.5591666666666667,50.775,2.4316666666666666
1992,1.6108333333333336,47.50833333333333,3.065
1993,1.3791666666666667,47.89166666666667,2.5241666666666664
1994,-0.19666666666666668,48.48333333333333,2.595
1995,-0.3575,48.583333333333336,2.525
1996,0.44333333333333336,47.43333333333334,2.5575
1997,2.3041666666666667,47.875,2.9
1998,-0.32249999999999995,52.791666666666664,2.6008333333333336
1999,-2.1975000000000002,50.59166666666667,2.5466666666666664
2000,1.0608333333333333,49.175000000000004,3.1666666666666665
2001,0.8516666666666666,50.85833333333333,2.813333333333333
2002,-0.04249999999999998,50.40833333333333,2.3183333333333334
2003,-1.1199999999999999,48.125,2.529166666666667
2004,1.2283333333333333,49.333333333333336,2.9116666666666666
2005,-0.7666666666666666,50.00833333333333,2.404166666666667
2006,1.6624999999999999,51.35833333333333,3.3383333333333334
2007,-0.2758333333333333,50.199999999999996,2.7016666666666667
2008,0.6208333333333333,48.75833333333333,2.984166666666667
2009,2.03,48.474999999999994,2.8825000000000003
2010,-0.295,51.041666666666664,2.6833333333333336
2011,2.895,50.09166666666667,4.035833333333334
2012,-1.5575,52.90833333333333,2.2358333333333333
2013,1.9908333333333335,49.1,3.2816666666666667
2014,3.07,46.84166666666667,2.9283333333333332
2015,1.2366666666666666,49.64166666666667,2.6
2016,0.3041666666666667,51.89166666666667,2.9658333333333338
2017,0.7225,51.35833333333333,2.985
2018,1.8266666666666664,50.05833333333334,3.346666666666667
2019,3.188333333333333,49.75,3.1108333333333333
2020,2.2558333333333334,51.625,2.9791666666666665
2021,1.8099999999999998,52.5,3.4025
